Method,Image,Kernel Size,Time (s),Status,Output Path
OpenMP,HD_lena,9,0.98,Success,Output_Performance/kernel_9/HD_lena_openmp.jpg
MPI,HD_lena,9,1.93,Error,Output_Performance/kernel_9/HD_lena_mpi.jpg
Sequential,HD_download,9,1.77,Success,Output_Performance/kernel_9/HD_download_sequential.jpg
OpenMP,HD_download,9,0.98,Success,Output_Performance/kernel_9/HD_download_openmp.jpg
MPI,HD_download,9,1.95,Error,Output_Performance/kernel_9/HD_download_mpi.jpg
Sequential,VGA_download,9,1.17,Success,Output_Performance/kernel_9/VGA_download_sequential.jpg
OpenMP,VGA_download,9,0.91,Success,Output_Performance/kernel_9/VGA_download_openmp.jpg
MPI,VGA_download,9,1.42,Error,Output_Performance/kernel_9/VGA_download_mpi.jpg
Sequential,VGA_lena,9,1.41,Success,Output_Performance/kernel_9/VGA_lena_sequential.jpg
OpenMP,VGA_lena,9,0.99,Success,Output_Performance/kernel_9/VGA_lena_openmp.jpg
MPI,VGA_lena,9,1.54,Error,Output_Performance/kernel_9/VGA_lena_mpi.jpg
Sequential,thumbnail_lena,9,0.87,Success,Output_Performance/kernel_9/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,9,0.87,Success,Output_Performance/kernel_9/thumbnail_lena_openmp.jpg
MPI,thumbnail_lena,9,1.20,Error,Output_Performance/kernel_9/thumbnail_lena_mpi.jpg
Sequential,thumbnail_download,9,0.88,Success,Output_Performance/kernel_9/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,9,0.89,Success,Output_Performance/kernel_9/thumbnail_download_openmp.jpg
MPI,thumbnail_download,9,1.13,Error,Output_Performance/kernel_9/thumbnail_download_mpi.jpg
Sequential,8K_download,11,51.65,Success,Output_Performance/kernel_11/8K_download_sequential.jpg
OpenMP,8K_download,11,6.98,Success,Output_Performance/kernel_11/8K_download_openmp.jpg
MPI,8K_download,11,45.07,Error,Output_Performance/kernel_11/8K_download_mpi.jpg
Sequential,8K_lena,11,49.91,Success,Output_Performance/kernel_11/8K_lena_sequential.jpg
OpenMP,8K_lena,11,6.63,Success,Output_Performance/kernel_11/8K_lena_openmp.jpg
MPI,8K_lena,11,44.50,Error,Output_Performance/kernel_11/8K_lena_mpi.jpg
Sequential,4K_lena,11,13.09,Success,Output_Performance/kernel_11/4K_lena_sequential.jpg
OpenMP,4K_lena,11,2.24,Success,Output_Performance/kernel_11/4K_lena_openmp.jpg
MPI,4K_lena,11,11.86,Error,Output_Performance/kernel_11/4K_lena_mpi.jpg
Sequential,4K_download,11,13.00,Success,Output_Performance/kernel_11/4K_download_sequential.jpg
OpenMP,4K_download,11,2.15,Success,Output_Performance/kernel_11/4K_download_openmp.jpg
MPI,4K_download,11,11.91,Error,Output_Performance/kernel_11/4K_download_mpi.jpg
Sequential,Quad_HD_lena,11,6.25,Success,Output_Performance/kernel_11/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,11,1.54,Success,Output_Performance/kernel_11/Quad_HD_lena_openmp.jpg
MPI,Quad_HD_lena,11,5.89,Error,Output_Performance/kernel_11/Quad_HD_lena_mpi.jpg
Sequential,Quad_HD_download,11,6.17,Success,Output_Performance/kernel_11/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,11,1.41,Success,Output_Performance/kernel_11/Quad_HD_download_openmp.jpg
MPI,Quad_HD_download,11,5.88,Error,Output_Performance/kernel_11/Quad_HD_download_mpi.jpg
Sequential,2K_lena,11,4.09,Success,Output_Performance/kernel_11/2K_lena_sequential.jpg
OpenMP,2K_lena,11,1.24,Success,Output_Performance/kernel_11/2K_lena_openmp.jpg
MPI,2K_lena,11,3.97,Error,Output_Performance/kernel_11/2K_lena_mpi.jpg
Sequential,2K_download,11,4.08,Success,Output_Performance/kernel_11/2K_download_sequential.jpg
OpenMP,2K_download,11,1.19,Success,Output_Performance/kernel_11/2K_download_openmp.jpg
MPI,2K_download,11,3.98,Error,Output_Performance/kernel_11/2K_download_mpi.jpg
Sequential,Full_HD_download,11,3.85,Success,Output_Performance/kernel_11/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,11,1.17,Success,Output_Performance/kernel_11/Full_HD_download_openmp.jpg
MPI,Full_HD_download,11,3.82,Error,Output_Performance/kernel_11/Full_HD_download_mpi.jpg
Sequential,Full_HD_lena,11,3.88,Success,Output_Performance/kernel_11/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,11,1.21,Success,Output_Performance/kernel_11/Full_HD_lena_openmp.jpg
MPI,Full_HD_lena,11,3.85,Error,Output_Performance/kernel_11/Full_HD_lena_mpi.jpg
Sequential,HD_lena,11,2.19,Success,Output_Performance/kernel_11/HD_lena_sequential.jpg
OpenMP,HD_lena,11,1.01,Success,Output_Performance/kernel_11/HD_lena_openmp.jpg
MPI,HD_lena,11,2.30,Error,Output_Performance/kernel_11/HD_lena_mpi.jpg
Sequential,HD_download,11,2.17,Success,Output_Performance/kernel_11/HD_download_sequential.jpg
OpenMP,HD_download,11,1.01,Success,Output_Performance/kernel_11/HD_download_openmp.jpg
MPI,HD_download,11,2.27,Error,Output_Performance/kernel_11/HD_download_mpi.jpg
Sequential,VGA_download,11,1.28,Success,Output_Performance/kernel_11/VGA_download_sequential.jpg
OpenMP,VGA_download,11,0.90,Success,Output_Performance/kernel_11/VGA_download_openmp.jpg
MPI,VGA_download,11,1.47,Error,Output_Performance/kernel_11/VGA_download_mpi.jpg
Sequential,VGA_lena,11,1.33,Success,Output_Performance/kernel_11/VGA_lena_sequential.jpg
OpenMP,VGA_lena,11,0.90,Success,Output_Performance/kernel_11/VGA_lena_openmp.jpg
MPI,VGA_lena,11,1.47,Error,Output_Performance/kernel_11/VGA_lena_mpi.jpg
Sequential,thumbnail_lena,11,0.88,Success,Output_Performance/kernel_11/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,11,0.85,Success,Output_Performance/kernel_11/thumbnail_lena_openmp.jpg
MPI,thumbnail_lena,11,1.11,Error,Output_Performance/kernel_11/thumbnail_lena_mpi.jpg
Sequential,thumbnail_download,11,0.88,Success,Output_Performance/kernel_11/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,11,0.86,Success,Output_Performance/kernel_11/thumbnail_download_openmp.jpg
MPI,thumbnail_download,11,1.11,Error,Output_Performance/kernel_11/thumbnail_download_mpi.jpg
